,word1,word2,gptCtgrl,gptAssoc,reason
0,old,new,5,5,
1,smart,intelligent,8,8,
2,hard,difficult,8,8,
3,happy,cheerful,8,8,
4,hard,easy,2,5,
5,fast,rapid,8,8,
6,happy,glad,8,8,
7,short,long,8,8,
8,stupid,dumb,5,8,
9,weird,strange,8,8,
10,wide,narrow,8,8,
11,bad,awful,5,8,
12,easy,difficult,2,8,
13,bad,terrible,5,8,
14,hard,simple,2,5,
15,smart,dumb,5,8,
16,insane,crazy,8,8,
17,happy,mad,2,8,
18,large,huge,8,8,
19,hard,tough,8,8,
20,new,fresh,8,10,
21,sharp,dull,8,5,
22,quick,rapid,10,10,
23,dumb,foolish,8,5,
24,wonderful,terrific,10,10,
25,strange,odd,10,10,
26,happy,angry,5,8,
27,narrow,broad,8,8,
28,simple,easy,10,10,
29,old,fresh,5,10,
30,apparent,obvious,10,10,
31,inexpensive,cheap,10,10,
32,nice,generous,8,5,
33,weird,normal,5,5,
34,weird,odd,10,10,
35,bad,immoral,8,8,
36,sad,funny,5,5,
37,wonderful,great,10,10,
38,guilty,ashamed,8,8,
39,beautiful,wonderful,10,10,
40,confident,sure,Categorical,8,
41,dumb,dense,8,1,
42,large,big,8,Associative,
43,nice,cruel,2,Categorical,
44,impatient,anxious,Associative,10,
45,big,broad,Categorical,2,
46,strong,proud,2,4,
47,unnecessary,necessary,8,Associative,
48,restless,young,5,Categorical,
49,dumb,intelligent,Associative,8,
50,bad,great,Categorical,8,
51,difficult,simple,8,7,
52,necessary,important,8,Associative,
53,bad,terrific,8,Categorical,
54,mad,glad,Associative,8,
55,honest,guilty,Categorical,2,
56,easy,tough,2,10,
57,easy,flexible,8,Associative,
58,certain,sure,11,Categorical,
59,essential,necessary,Associative,8,
60,different,normal,Categorical,similarity,
61,sly,clever,Association,5,
62,crucial,important,Categorical,similarity,
63,harsh,cruel,Association,8,
64,childish,foolish,Categorical,similarity,
65,scarce,rare,Association,9,
66,friendly,generous,Categorical,similarity,
67,fragile,frigid,Association,8,
68,long,narrow,Categorical,similarity,
69,big,heavy,Association,6,
70,rough,frigid,Categorical,similarity,
71,bizarre,strange,Association,8,
72,illegal,immoral,Categorical,similarity,
73,bad,guilty,Association,8,
74,modern,ancient,Categorical,similarity,
75,new,ancient,Association,5,
76,dull,funny,Categorical,similarity,
77,happy,young,Association,5,
78,easy,big,Categorical,similarity,
79,great,awful,Association,5,
80,tiny,huge,Categorical,similarity,
81,polite,proper,Association,8,
82,modest,ashamed,Categorical,similarity,
83,exotic,rare,Association,8,
84,dumb,clever,Categorical,similarity,
85,delightful,wonderful,Association,9,
86,noticeable,obvious,Categorical,similarity,
87,afraid,anxious,Association,8,
88,formal,proper,Categorical,similarity,
89,dreary,dull,Association,8,
90,delightful,cheerful,Categorical,similarity,
91,unhappy,mad,Association,10,
92,sad,terrible,Categorical,similarity,
93,sick,crazy,Association,8,
94,violent,angry,Categorical,similarity,
95,laden,heavy,Association,9,
96,dirty,cheap,Categorical,similarity,
97,elastic,flexible,Association,8,
98,hard,dense,Categorical,similarity,
99,recent,new,Association,8,
100,bold,proud,bold,and,
101,sly,strange,8,5,
102,strange,sly,sly,and,
103,dumb,rare,6,8,
104,sly,tough,strange,and,
105,terrific,mad,6,8,
106,modest,flexible,dumb,and,
107,fresh,wide,4,5,
108,huge,dumb,sly,and,
109,large,flexible,6,7,
110,dirty,narrow,terrific,and,
111,wife,husband,4,7,
112,book,text,modest,and,
113,groom,bride,8,8,
114,night,day,fresh,and,
115,south,north,6,7,
116,plane,airport,huge,and,
117,uncle,aunt,4,5,
118,horse,mare,large,and,
